created_at,text,sentiment,processed_text
2025-07-06 23:57:29+00:00,Hari pertama MPLS selalu deg2an saat upacara pertama kelas 7. Fokus ngecek anak2 baru apakah msh ada posturnya stunting. Sedih bgt melihat hari ini masih nanyak anak yg tumbuh kembangnya tidak sempurna. Di era digital loh ini baru paham kan knpa ada MBG?,1,hari pertama mpls selalu upacara pertama kelas fokus ngecek baru postur stunting sedih lihat hari nanyak anak tumbuh kembang tidak sempurna era digital loh baru paham kan knpa mbg
2025-12-01 04:44:16+00:00,saya mendukung program MBG yang digagas oleh Presiden Prabowo #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua,1,dukung program mbg gagas presiden prabowo
2025-07-16 00:22:42+00:00,Makan Bergizi Gratis (MBG) adalah momentum utk: 1. Pengentasan kemiskinan dgn membuka pekerjaan 2. Penyiapan SDM di usia pertumbuhan 3. Kemandirian pangan 4. Hilirisasi/industrialisasi desa &amp; 5. Membuka jalur distribusi pangan baru,1,makan gizi gratis mbg momentum utk entas miskin buka kerja siap sdm usia tumbuh mandiri pangan hilir industrialisasi desa amp buka jalur distribusi pangan baru
2025-07-16 04:05:02+00:00,Program Makan Bergizi Gratis memiliki dampak positif dalam meningkatkan gizi anak-anak Indonesia demi menciptakan generasi yang sehat dan cerdas #PenuhiGiziIndonesia,1,program makan gizi gratis milik dampak positif tingkat gizi anak anak indonesia cipta generasi sehat cerdas
2025-07-16 04:05:14+00:00,Dengan adanya program Makan Bergizi Gratis anak-anak kini memiliki kesempatan untuk tumbuh lebih baik #PenuhiGiziIndonesia,1,ada program makan gizi gratis anak anak kini milik sempat tumbuh lebih baik
2025-07-16 13:05:10+00:00,MBG: Makan Bergizi Gratis Makan Belatung Gratis Nol akuntabilitas nol progress nol gizi tata kelola bobrok buang-buang anggaran Hasil kebijakan karya negara besar Besar bohongnya besar korupnya besar gagalnya,0,mbg makan gizi gratis makan belatung gratis nol akuntabilitas nol progress nol gizi tata kelola bobrok buang buang anggar hasil bijak karya negara besar besar bohong besar korup besar gagal
2025-07-17 00:08:23+00:00,@ARSIPAJA MBG = Makan Bergizi Gratis MBG = Makan Belatung Gratis,0,mbg makan gizi gratis mbg makan belatung gratis
2025-07-17 00:38:39+00:00,30 ribu Sarjana Penggerak Pembangunan Indonesia (SPPI) siap turun ke lapangan untuk memastikan program Makan Bergizi Gratis berjalan optimal di berbagai daerah. Ini langkah nyata menuju Indonesia Emas 2045! #MakanBergiziGratis #ManfaatMBG #SPPI #IndonesiaEmas2045,1,ribu sarjana gerak bangun indonesia sppi siap turun lapang pasti program makan gizi gratis jalan optimal bagai daerah langkah nyata tuju indonesia emas
2025-07-17 01:53:22+00:00,Jargon pemerintah omon-omon: 1. Sekolah Rakyat 2. Sekolah Gratis 3. Makan Bergizi Gratis Gedabrus..!!!!,0,jargon perintah omon omon sekolah rakyat sekolah gratis makan gizi gratis gedabrus
2025-07-17 02:11:45+00:00,Program Makan Bergizi Gratis (MBG) tidak hanya mendukung kesehatan anak tetapi juga mendorong perputaran ekonomi lokal #PenuhiGiziIndonesia,1,program makan gizi gratis mbg tidak dukung sehat anak dorong putar ekonomi lokal
2025-07-19 07:02:31+00:00,"Melalui program Makan Bergizi Gratis pemerintah berupaya untuk memenuhi gizi pada anak-anak seluruh Indonesia, Mari kita dukung sama-sama #PenuhiGiziIndonesia",1,lalu program makan gizi gratis perintah upaya penuh gizi anak anak seluruh indonesia dukung sama sama
2025-07-19 07:02:31+00:00,"Program Makan Bergizi Gratis terbukti beri segudang manfaat untuk kesehatan dan perekonomian masyarakat, dukung terus #PenuhiGiziIndonesia",1,program makan gizi gratis bukti beri gudang manfaat sehat ekonomi masyarakat dukung terus
2025-07-17 02:12:48+00:00,Mari dukung makan bergizi gratis untuk meningkatkan kualitas hidup anak-anak di Indonesia #PenuhiGiziIndonesia,1,dukung makan gizi gratis tingkat kualitas hidup anak anak indonesia
2025-07-19 07:02:31+00:00,Dedikasi tinggi dari 30 ribu Sarjana Penggerak Pembangunan Indonesia untuk program Makan Bergizi Gratis. Mereka adalah agen perubahan. Kita Dukung Terus MBG! #MakanBergiziGratis #ManfaatMBG #SPPI #SarjanaPenggerakPembangunanIndonesia #IndonesiaEmas2045,1,dedikasi tinggi ribu sarjana gerak bangun indonesia program makan gizi gratis agen ubah dukung terus mbg
2025-07-19 07:02:31+00:00,Program Makan Bergizi Gratis (MBG) perluas akses gizi hingga daerah terpencil. Terimakasih Pak @prabowo #MBG #MakanBergiziGratis #AksesGiziMerata #GiziUntukSemua #MBGUntukIndonesia,1,program makan gizi gratis mbg luas akses gizi hingga daerah pencil terimakasih pak
2025-07-19 07:02:31+00:00,terima kasih pak @prabowo atas Makan Bergizi Gratis! Alhamdulillah keren! Saya mendukung penuh!,1,terima kasih pak atas makan gizi gratis alhamdulillah keren dukung penuh
2025-07-17 14:35:32+00:00,Program Makan Bergizi Gratis di Papua yang diinisiasi Presiden Prabowo menghadirkan manfaat ganda mulai dari gizi terpenuhi ekonomi rakyat bergerak. #MakanBergiziGratis #VisiPresidenPrabowo #PapuaDamai #PapuaIndonesia #PapuaMerdeka #OrganisasiPapuaMerdeka #InfoPapua,1,program makan gizi gratis papua inisiasi presiden prabowo hadir manfaat ganda mulai gizi penuh ekonomi rakyat gerak
2025-07-19 07:02:31+00:00,Makan bergizi gratis program keren!,1,makan gizi gratis program keren
2025-07-17 22:00:34+00:00,terima kasih pak polisi atas support ke Program Makan Bergizi Gratis! Mantap! Dukung terus MBG!,1,terima kasih pak polisi atas support program makan gizi gratis mantap dukung terus mbg
2025-07-17 22:26:32+00:00,keren bgt polisi kita! Makan bergizi gratis didukung penuh! Salut! Kita sukseskan MBG bersama!,1,keren polisi makan gizi gratis dukung penuh salut sukses mbg sama
2025-07-17 23:08:49+00:00,program makan bergizi gratis di-backup polisi! Mantap nih pak polisi! Alhamdulillah! Mari kita sukseskan Bersama!,1,program makan gizi gratis backup polisi mantap pak polisi alhamdulillah sukses sama
2025-07-19 07:02:31+00:00,wah polisinya hebat banget! Dukung penuh buat Makan Bergizi Gratis. Alhamdulillah terima kasih pak polisi! Terima kasih pak @prabowo atas program keren,1,wah polisi hebat sangat dukung penuh buat makan gizi gratis alhamdulillah terima kasih pak polisi terima kasih pak atas program keren
2025-07-18 00:22:19+00:00,polisi kita emang top! Dukung makan bergizi gratis! Alhamdulillah! Makasih pak polisi! Dukung terus mbg!,1,polisi bagus dukung makan gizi gratis alhamdulillah makasih pak polisi dukung terus mbg
2025-07-18 02:22:37+00:00,program makan bergizi gratis makin sukses ada support dari polisi kita. Makasih banyak! Polisi dan pak prabowo,1,program makan gizi gratis makin sukses support polisi makasih banyak polisi pak prabowo
2025-07-18 03:00:54+00:00,polisi top abis! Makan bergizi gratis jd prioritas. Makasih Pak! Memang program sebagus ini harus banyak dikawal! MANTAP,1,polisi bagus abis makan gizi gratis jadi prioritas makasih pak program bagus banyak kawal mantap
2025-07-18 03:02:53+00:00,"Makan Bergizi Gratis sangat penting untuk #PenuhiGiziIndonesia , mari sukseskan bersama",1,makan gizi gratis sangat penting sukses sama
2025-07-19 07:02:31+00:00,"Program makan bergizi gratis bertujuan untuk meningkatkan gizi anak-anak Indonesia, dukung terus #PenuhiGiziIndonesia",1,program makan gizi gratis tuju tingkat gizi anak anak indonesia dukung terus
2025-07-18 03:03:11+00:00,Makan bergizi gratis untuk meningkatkan kualitas hidup generasi bangsa #PenuhiGiziIndonesia,1,makan gizi gratis tingkat kualitas hidup generasi bangsa
2025-07-18 04:51:11+00:00,keren bgt Pak Polisi support Program Makan Bergizi Gratis! Terima kasih! Salut!,1,keren pak polisi support program makan gizi gratis terima kasih salut
2025-07-18 05:28:06+00:00,polisi kita mantap abis! Dukung total makan bergizi gratis. Lanjutkan dan kawal terus program keren MBG,1,polisi mantap abis dukung total makan gizi gratis lanjut kawal terus program keren mbg
2025-07-18 05:45:04+00:00,MBG = Makan Bergizi Gratis ¸ MBG = Makan Belatung Gratis ,0,mbg makan gizi gratis mbg makan belatung gratis
2025-07-19 07:02:31+00:00,Pemerintah Pacu Pembangunan 2.200 Dapur MBG di Daerah 3T Tahun 2025 Pemerintah terus memperkuat komitmen dalam menjalankan program prioritas nasional Makan Bergizi Gratis (MBG). Salah satu bukti bahwa program ini merupakan komitmen nyata dan harus didukung sepenuhnya,1,perintah pacu bangun dapur mbg daerah tahun perintah terus kuat komitmen jalan program prioritas nasional makan gizi gratis mbg salah satu bukti program rupa komitmen nyata dukung sepenuh
2025-07-18 09:29:50+00:00,Tak ada anak yang belajar dalam keadaan lapar. Aceh bergerak lewat makan bergizi gratis untuk semua #MakanGratisAceh #AcehCerdas #DukungGenerasiMuda #MakanGratisAceh #AcehCerdas #DukungGenerasiMuda,1,tak anak ajar ada lapar aceh gerak lewat makan gizi gratis semua
2025-07-18 09:29:57+00:00,Pemerintah hadir untuk rakyat! Makan bergizi gratis jadi wujud nyata kepedulian untuk anak-anak Aceh #MakanGratisAceh #AcehCerdas #DukungGenerasiMuda #MakanGratisAceh #AcehCerdas #DukungGenerasiMuda,1,perintah hadir rakyat makan gizi gratis jadi wujud nyata peduli anak anak aceh
2025-07-18 13:20:28+00:00,Seluruh elemen masyarakat di Papua mendukung Program Makan Bergizi Gratis karena terbukti bermanfaat dalam meningkatkan gizi dan kesehatan anak-anak. #MakanBergiziGratis #VisiPresidenPrabowo #PapuaDamai #PapuaIndonesia #PapuaMerdeka #OrganisasiPapuaMerdeka #InfoPapua,1,seluruh elemen masyarakat papua dukung program makan gizi gratis bukti manfaat tingkat gizi sehat anak anak
2025-07-18 13:21:15+00:00,Program Makan Bergizi Gratis menjadi solusi atas keterbatasan ekonomi keluarga sekaligus menunjukkan perhatian nyata pemerintah terhadap kesejahteraan generasi muda Papua. #MakanBergiziGratis #VisiPresidenPrabowo #PapuaDamai #PapuaIndonesia #PapuaMerdeka #OrganisasiPapuaMerdeka,1,program makan gizi gratis jadi solusi atas batas ekonomi keluarga sekaligus tunjuk perhati nyata perintah sejahtera generasi muda papua
2025-07-18 23:29:43+00:00,Program Makan Bergizi Gratis merupakan bentuk kepedulian pemerintah terhadap kesehatan dan juga kualitas hidup sehat anak-anak Indonesia #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua,1,program makan gizi gratis rupa bentuk peduli perintah sehat kualitas hidup sehat anak anak indonesia
2025-07-18 23:36:42+00:00,Program Makan Bergizi Gratis yang diinisiasi oleh Pemerintah kini mendapat dukungan penuh dari tokoh masyarakat tokoh agama dan kepala suku di Papua #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua,1,program makan gizi gratis inisiasi perintah kini dapat dukung penuh tokoh masyarakat tokoh agama kepala suku papua
2025-07-19 00:14:28+00:00,Anak sehat bangsa kuat! Program Makan Bergizi Gratis (MBG) hadir untuk membentuk generasi emas yang cerdas dan siap menghadapi masa depan. #MakanBergiziGratis #GenerasiEmas #MBG #IndonesiaTerang,1,anak sehat bangsa kuat program makan gizi gratis mbg hadir bentuk generasi emas cerdas siap hadap masa depan
2025-07-19 05:41:45+00:00,Sejak kapan Badan Bergizi Nasional menetapkan Belatung sebagai menu Makan Bergizi Gratis ? Menjijikkan,0,sejak kapan badan gizi nasional tetap belatung menu makan gizi gratis jijik
2025-07-19 08:24:11+00:00,Dukung Makan Bergizi Gratis,1,dukung makan gizi gratis
2025-07-19 12:23:57+00:00,Mari Kita Dukung Program Makan Bergizi Gratis #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis,1,dukung program makan gizi gratis
2025-07-19 07:02:31+00:00,"Makan Bergizi Gratis dimulai sejak awal 2025 namun manfaatnya sudah banyak dirasakan, mari kita dukung bersama. #Dikbud #AdadiKompas",1,makan gizi gratis mulai sejak awal manfaat banyak rasa dukung sama
2025-07-19 07:02:31+00:00,"Dukung Program Makan Bergizi Gratis, Investasi Untuk Generasi Emas #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis",1,dukung program makan gizi gratis investasi generasi emas
2025-07-19 12:32:15+00:00,Program Makan Bergizi Gratis Membantu Anak-anak Indonesia Tumbuh Sehat dan Cerdas #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis,1,program makan gizi gratis bantu anak anak indonesia tumbuh sehat cerdas
2025-07-19 13:32:48+00:00,Daripada buat makan bergizi mending duitnya buat sekolah rakyat agar lebih banyak bisa tertampung.  Kementerian Pekerjaan Umum (PU) akan membangun sekitar 2.500 dapur untuk program Makan Bergizi Gratis (MBG) atau Satuan Pelayanan Pemenuhan Gizi (SPPG).,0,buat makan gizi mending duit buat sekolah rakyat lebih banyak tampung menteri kerja umum bangun dapur program makan gizi gratis mbg satu layan penuh gizi sppg
2025-07-19 07:02:31+00:00,"Program Makan Bergizi Gratis (MBG) terbukti berdampak: Stunting turun dari 21 5 persen ke 14 8 persen 6 1 juta penerima manfaat 1.198 SPPG aktif di berbagai wilayah Libatkan 80 ribu pekerja & 5.200 UMKM, saya mendukung program ini pak @prabowo",1,program makan gizi gratis mbg bukti dampak stunting turun persen persen juta terima manfaat sppg aktif bagai wilayah libat ribu kerja umkm dukung program pak
2025-07-19 15:24:39+00:00,Makan Bergizi Gratis mensejahterakan Kita semua. #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis,1,makan gizi gratis sejahtera semua
